system,TPSS0/def2-QZVP/ORCA
S22x5/01-A,-467.4660908976
S22x5/01-B,-454.2819933503
S22x5/01-0.9,-921.7678073708
S22x5/01-1.0,-921.7699792481
S22x5/01-1.2,-921.7656571329
S22x5/01-1.5,-921.7577705597
S22x5/01-2.0,-921.7514798321
S22x5/02-A,-467.4657100805
S22x5/02-B,-454.283213845
S22x5/02-0.9,-921.7379159247
S22x5/02-1.0,-921.7498540466
S22x5/02-1.2,-921.7533529628
S22x5/02-1.5,-921.7515834232
S22x5/02-2.0,-921.7498653383
S22x5/03-A,-56.579353144
S22x5/03-B,-56.5793531425
S22x5/03-0.9,-113.1613159792
S22x5/03-1.0,-113.1625569075
S22x5/03-1.2,-113.161845313
S22x5/03-1.5,-113.1603251787
S22x5/03-2.0,-113.1592385484
S22x5/04-A,-76.4520725576
S22x5/04-B,-76.4521178826
S22x5/04-0.9,-152.9109919727
S22x5/04-1.0,-152.9118653689
S22x5/04-1.2,-152.9103989245
S22x5/04-1.5,-152.9078429798
S22x5/04-2.0,-152.9057432248
S22x5/05-A,-40.5366324164
S22x5/05-B,-40.536632417
S22x5/05-0.9,-81.071934656
S22x5/05-1.0,-81.0730490303
S22x5/05-1.2,-81.0733509275
S22x5/05-1.5,-81.0732787237
S22x5/05-2.0,-81.0732644429
S22x5/06-A,-78.618182148
S22x5/06-B,-78.6181821467
S22x5/06-0.9,-157.2336700504
S22x5/06-1.0,-157.2360889186
S22x5/06-1.2,-157.2367875212
S22x5/06-1.5,-157.2364730787
S22x5/06-2.0,-157.2363694094
S22x5/07-A,-78.6181722498
S22x5/07-B,-77.3538753058
S22x5/07-0.9,-155.9728360404
S22x5/07-1.0,-155.9735501019
S22x5/07-1.2,-155.9733474558
S22x5/07-1.5,-155.9726927407
S22x5/07-2.0,-155.9722421319
S22x5/08-A,-189.8194159091
S22x5/08-B,-189.8194159055
S22x5/08-0.9,-379.6659579419
S22x5/08-1.0,-379.6685018499
S22x5/08-1.2,-379.6627989252
S22x5/08-1.5,-379.6526816266
S22x5/08-2.0,-379.6444779028
S22x5/09-A,-169.9487374324
S22x5/09-B,-169.9487374398
S22x5/09-0.9,-339.9188711236
S22x5/09-1.0,-339.9211009707
S22x5/09-1.2,-339.9170474659
S22x5/09-1.5,-339.9095270632
S22x5/09-2.0,-339.902991787
S22x5/10-A,-232.3276518803
S22x5/10-B,-76.4520003804
S22x5/10-0.9,-308.781851767
S22x5/10-1.0,-308.7828128161
S22x5/10-1.2,-308.7825307476
S22x5/10-1.5,-308.7814139423
S22x5/10-2.0,-308.7803384279
S22x5/11-A,-232.3276740764
S22x5/11-B,-56.5793004642
S22x5/11-0.9,-288.9068710816
S22x5/11-1.0,-288.9080876159
S22x5/11-1.2,-288.9083841427
S22x5/11-1.5,-288.9078692872
S22x5/11-2.0,-288.9072887441
S22x5/12-A,-232.3276933936
S22x5/12-B,-40.5366617733
S22x5/12-0.9,-272.8624303234
S22x5/12-1.0,-272.8638969964
S22x5/12-1.2,-272.8646590644
S22x5/12-1.5,-272.8645968432
S22x5/12-2.0,-272.8644128742
S22x5/13-A,-232.3276684575
S22x5/13-B,-232.3276619242
S22x5/13-0.9,-464.6528886039
S22x5/13-1.0,-464.6549838404
S22x5/13-1.2,-464.6560967305
S22x5/13-1.5,-464.6560044583
S22x5/13-2.0,-464.6555698694
S22x5/14-A,-232.3276887684
S22x5/14-B,-232.3276887669
S22x5/14-0.9,-464.6436248052
S22x5/14-1.0,-464.6512116175
S22x5/14-1.2,-464.6547263734
S22x5/14-1.5,-464.6552272596
S22x5/14-2.0,-464.6552973658
S22x5/15-A,-232.327600614
S22x5/15-B,-363.940280461
S22x5/15-0.9,-596.2679279948
S22x5/15-1.0,-596.2706316623
S22x5/15-1.2,-596.2715756189
S22x5/15-1.5,-596.2705704111
S22x5/15-2.0,-596.2690779756
S22x5/16-A,-232.3276537982
S22x5/16-B,-363.9402723922
S22x5/16-0.9,-596.2542216042
S22x5/16-1.0,-596.2629693754
S22x5/16-1.2,-596.2670260667
S22x5/16-1.5,-596.267561689
S22x5/16-2.0,-596.2676302592
S22x5/17-A,-264.3960055894
S22x5/17-B,-264.3959917779
S22x5/17-0.9,-528.781844333
S22x5/17-1.0,-528.7897226713
S22x5/17-1.2,-528.7926892219
S22x5/17-1.5,-528.7924669144
S22x5/17-2.0,-528.7920861319
S22x5/18-A,-323.6222333261
S22x5/18-B,-303.7493636931
S22x5/18-0.9,-627.3927515685
S22x5/18-1.0,-627.3950262652
S22x5/18-1.2,-627.390772822
S22x5/18-1.5,-627.3828161225
S22x5/18-2.0,-627.3762404259
S22x5/19-A,-307.5724824121
S22x5/19-B,-307.5724902396
S22x5/19-0.9,-615.1489242114
S22x5/19-1.0,-615.1506184402
S22x5/19-1.2,-615.1501663288
S22x5/19-1.5,-615.1483479074
S22x5/19-2.0,-615.1464725956
S22x5/20-A,-414.9488879017
S22x5/20-B,-414.9488879064
S22x5/20-0.9,-829.8919131305
S22x5/20-1.0,-829.9010876277
S22x5/20-1.2,-829.9026153427
S22x5/20-1.5,-829.9003215464
S22x5/20-2.0,-829.8986611438
S22x5/21-A,-414.9480679197
S22x5/21-B,-414.9480679296
S22x5/21-0.9,-829.9236036859
S22x5/21-1.0,-829.9258788121
S22x5/21-1.2,-829.9205764429
S22x5/21-1.5,-829.9111239685
S22x5/21-2.0,-829.9029216124
S22x5/22-A,-232.3276148517
S22x5/22-B,-93.4476491225
S22x5/22-0.9,-325.7786568476
S22x5/22-1.0,-325.779827042
S22x5/22-1.2,-325.7794846505
S22x5/22-1.5,-325.7779923491
S22x5/22-2.0,-325.7764722604
S66x8/01-A,-76.4521152855
S66x8/01-B,-76.4520941446
