system,TPSSh/def2-QZVP/TM
S22x5/01-A,-467.5485520499
S22x5/01-B,-454.3602694225
S22x5/01-0.9,-921.927875514
S22x5/01-1.0,-921.9302611118
S22x5/01-1.2,-921.9261574091
S22x5/01-1.5,-921.9184555464
S22x5/01-2.0,-921.9122356434
S22x5/02-A,-467.5481980333
S22x5/02-B,-454.3612656486
S22x5/02-0.9,-921.8967417696
S22x5/02-1.0,-921.9092632014
S22x5/02-1.2,-921.9135920568
S22x5/02-1.5,-921.9121341073
S22x5/02-2.0,-921.910391538
S22x5/03-A,-56.5878031706
S22x5/03-B,-56.5878031706
S22x5/03-0.9,-113.1781491239
S22x5/03-1.0,-113.1793965907
S22x5/03-1.2,-113.1787437497
S22x5/03-1.5,-113.1772465776
S22x5/03-2.0,-113.1761400765
S22x5/04-A,-76.4644377579
S22x5/04-B,-76.4644456419
S22x5/04-0.9,-152.9355532057
S22x5/04-1.0,-152.9364794612
S22x5/04-1.2,-152.9350614212
S22x5/04-1.5,-152.9325513267
S22x5/04-2.0,-152.9304382122
S22x5/05-A,-40.5412439994
S22x5/05-B,-40.5412439994
S22x5/05-0.9,-81.0810415969
S22x5/05-1.0,-81.0822515003
S22x5/05-1.2,-81.0825986853
S22x5/05-1.5,-81.0825093801
S22x5/05-2.0,-81.0824889645
S22x5/06-A,-78.6302923986
S22x5/06-B,-78.6302923986
S22x5/06-0.9,-157.2575310414
S22x5/06-1.0,-157.2601468057
S22x5/06-1.2,-157.2609932771
S22x5/06-1.5,-157.2607069898
S22x5/06-2.0,-157.2605899192
S22x5/07-A,-78.6302846026
S22x5/07-B,-77.3686539159
S22x5/07-0.9,-155.9995990005
S22x5/07-1.0,-156.0003464922
S22x5/07-1.2,-156.0002107255
S22x5/07-1.5,-155.9995737198
S22x5/07-2.0,-155.9991249041
S22x5/08-A,-189.8547949686
S22x5/08-B,-189.8547949686
S22x5/08-0.9,-379.7355551751
S22x5/08-1.0,-379.738519164
S22x5/08-1.2,-379.7331594823
S22x5/08-1.5,-379.7232606145
S22x5/08-2.0,-379.7151988298
S22x5/09-A,-169.9796200734
S22x5/09-B,-169.9796200734
S22x5/09-0.9,-339.979766085
S22x5/09-1.0,-339.9822406004
S22x5/09-1.2,-339.9784331779
S22x5/09-1.5,-339.9711296655
S22x5/09-2.0,-339.9647096486
S22x5/10-A,-232.363458702
S22x5/10-B,-76.4643750296
S22x5/10-0.9,-308.8296561605
S22x5/10-1.0,-308.8307164371
S22x5/10-1.2,-308.8305955676
S22x5/10-1.5,-308.829560418
S22x5/10-2.0,-308.8284858468
S22x5/11-A,-232.363464479
S22x5/11-B,-56.5877424936
S22x5/11-0.9,-288.9507720942
S22x5/11-1.0,-288.9520840966
S22x5/11-1.2,-288.952535803
S22x5/11-1.5,-288.9520836585
S22x5/11-2.0,-288.9515035429
S22x5/12-A,-232.3634708667
S22x5/12-B,-40.5412210716
S22x5/12-0.9,-272.9024770273
S22x5/12-1.0,-272.9040215667
S22x5/12-1.2,-272.9049160002
S22x5/12-1.5,-272.904934615
S22x5/12-2.0,-272.9047462958
S22x5/13-A,-232.3634608251
S22x5/13-B,-232.3634609211
S22x5/13-0.9,-464.7239877076
S22x5/13-1.0,-464.7262376218
S22x5/13-1.2,-464.7275638259
S22x5/13-1.5,-464.7275576951
S22x5/13-2.0,-464.7271474769
S22x5/14-A,-232.3634639508
S22x5/14-B,-232.3634639508
S22x5/14-0.9,-464.7147165619
S22x5/14-1.0,-464.7224335178
S22x5/14-1.2,-464.7262430581
S22x5/14-1.5,-464.7268349773
S22x5/14-2.0,-464.7268635363
S22x5/15-A,-232.3634420682
S22x5/15-B,-363.9980880137
S22x5/15-0.9,-596.3609012698
S22x5/15-1.0,-596.3637430985
S22x5/15-1.2,-596.3649403038
S22x5/15-1.5,-596.3640997556
S22x5/15-2.0,-596.3626738679
S22x5/16-A,-232.3634520041
S22x5/16-B,-363.9980472706
S22x5/16-0.9,-596.3470650569
S22x5/16-1.0,-596.3560580776
S22x5/16-1.2,-596.3605513126
S22x5/16-1.5,-596.3612403336
S22x5/16-2.0,-596.3612447047
S22x5/17-A,-264.4434024011
S22x5/17-B,-264.4433979877
S22x5/17-0.9,-528.8760661983
S22x5/17-1.0,-528.8840862866
S22x5/17-1.2,-528.8874711241
S22x5/17-1.5,-528.8873093423
S22x5/17-2.0,-528.886898214
S22x5/18-A,-323.678457643
S22x5/18-B,-303.7996499318
S22x5/18-0.9,-627.4988110793
S22x5/18-1.0,-627.5012537491
S22x5/18-1.2,-627.4971425994
S22x5/18-1.5,-627.4893030386
S22x5/18-2.0,-627.4827730742
S22x5/19-A,-307.6219685381
S22x5/19-B,-307.6220260136
S22x5/19-0.9,-615.2473523553
S22x5/19-1.0,-615.2491436219
S22x5/19-1.2,-615.2489162968
S22x5/19-1.5,-615.2472808648
S22x5/19-2.0,-615.2454734043
S22x5/20-A,-415.0226333248
S22x5/20-B,-415.0226333248
S22x5/20-0.9,-830.0380094729
S22x5/20-1.0,-830.0476774221
S22x5/20-1.2,-830.0499330818
S22x5/20-1.5,-830.0477972053
S22x5/20-2.0,-830.0461324236
S22x5/21-A,-415.0219412076
S22x5/21-B,-415.0219412076
S22x5/21-0.9,-830.0702060415
S22x5/21-1.0,-830.0727743526
S22x5/21-1.2,-830.067768093
S22x5/21-1.5,-830.0585476824
S22x5/21-2.0,-830.0505220315
S22x5/22-A,-232.3634434304
S22x5/22-B,-93.4676940091
S22x5/22-0.9,-325.8338004258
S22x5/22-1.0,-325.8351114701
S22x5/22-1.2,-325.8350123682
S22x5/22-1.5,-325.8337111406
S22x5/22-2.0,-325.8322689154
S66x8/01-A,-76.4644253467
S66x8/01-B,-76.4644417026
S66x8/01-090,-152.9359936139
S66x8/01-095,-152.9363856883
S66x8/01-100,-152.9363417141
S66x8/01-105,-152.9360489256
S66x8/01-110,-152.9356274528
S66x8/01-125,-152.9341861765
S66x8/01-150,-152.9322541839
S66x8/01-200,-152.930304367
S66x8/02-A,-76.4644299685
S66x8/02-B,-115.7829844592
S66x8/02-090,-192.2544965505
S66x8/02-095,-192.2550598566
S66x8/02-100,-192.2551123584
S66x8/02-105,-192.254865781
S66x8/02-110,-192.2544574709
S66x8/02-125,-192.2529686475
S66x8/02-150,-192.2509256838
S66x8/02-200,-192.2488546575
S66x8/03-A,-76.4644311647
S66x8/03-B,-95.9090673026
S66x8/03-090,-172.3837044018
S66x8/03-095,-172.3842007096
S66x8/03-100,-172.3841116821
S66x8/03-105,-172.3836718097
S66x8/03-110,-172.3830401915
S66x8/03-125,-172.3808567937
S66x8/03-150,-172.3779774675
S66x8/03-200,-172.3752238283
S66x8/04-A,-76.4644324282
S66x8/04-B,-248.6506451613
