system,X3LYP/def2-QZVP/ORCA
S22x5/01-A,-467.1570671226
S22x5/01-B,-453.999810873
S22x5/01-0.9,-921.1761009733
S22x5/01-1.0,-921.1788469966
S22x5/01-1.2,-921.175036855
S22x5/01-1.5,-921.1668449102
S22x5/01-2.0,-921.1601772773
S22x5/02-A,-467.1564906477
S22x5/02-B,-454.0008549198
S22x5/02-0.9,-921.1420207053
S22x5/02-1.0,-921.1578161931
S22x5/02-1.2,-921.16172092
S22x5/02-1.5,-921.1596433757
S22x5/02-2.0,-921.1582456534
S22x5/03-A,-56.5399910016
S22x5/03-B,-56.5399910016
S22x5/03-0.9,-113.0828726464
S22x5/03-1.0,-113.0842609548
S22x5/03-1.2,-113.0833170964
S22x5/03-1.5,-113.0815581269
S22x5/03-2.0,-113.0805020511
S22x5/04-A,-76.4179718213
S22x5/04-B,-76.4179991879
S22x5/04-0.9,-152.8431742465
S22x5/04-1.0,-152.8442031785
S22x5/04-1.2,-152.8426358916
S22x5/04-1.5,-152.8397243631
S22x5/04-2.0,-152.8375047473
S22x5/05-A,-40.4897878486
S22x5/05-B,-40.4897878486
S22x5/05-0.9,-80.9783812488
S22x5/05-1.0,-80.9793446076
S22x5/05-1.2,-80.9795514923
S22x5/05-1.5,-80.9795598292
S22x5/05-2.0,-80.9795739057
S22x5/06-A,-78.5459572744
S22x5/06-B,-78.5459572744
S22x5/06-0.9,-157.0891795179
S22x5/06-1.0,-157.091846944
S22x5/06-1.2,-157.0921683788
S22x5/06-1.5,-157.0919417596
S22x5/06-2.0,-157.0919148338
S22x5/07-A,-78.5459491684
S22x5/07-B,-77.2954248226
S22x5/07-0.9,-155.8420440979
S22x5/07-1.0,-155.8428401087
S22x5/07-1.2,-155.8425991882
S22x5/07-1.5,-155.841934203
S22x5/07-2.0,-155.8415504438
S22x5/08-A,-189.728452522
S22x5/08-B,-189.7284525221
S22x5/08-0.9,-379.4827419781
S22x5/08-1.0,-379.4861140921
S22x5/08-1.2,-379.4814341298
S22x5/08-1.5,-379.4712666981
S22x5/08-2.0,-379.4624942082
S22x5/09-A,-169.8537124191
S22x5/09-B,-169.8537124192
S22x5/09-0.9,-339.7282105578
S22x5/09-1.0,-339.7311798309
S22x5/09-1.2,-339.7276843284
S22x5/09-1.5,-339.7197498748
S22x5/09-2.0,-339.7128581782
S22x5/10-A,-232.131666492
S22x5/10-B,-76.4178751562
S22x5/10-0.9,-308.5513408046
S22x5/10-1.0,-308.5525945742
S22x5/10-1.2,-308.5523390926
S22x5/10-1.5,-308.5511505638
S22x5/10-2.0,-308.5501807789
S22x5/11-A,-232.1316802508
S22x5/11-B,-56.539885044
S22x5/11-0.9,-288.6710939586
S22x5/11-1.0,-288.6725677963
S22x5/11-1.2,-288.6728579687
S22x5/11-1.5,-288.6723030271
S22x5/11-2.0,-288.6718400616
S22x5/12-A,-232.1316951537
S22x5/12-B,-40.4897873986
S22x5/12-0.9,-272.619177716
S22x5/12-1.0,-272.6208956112
S22x5/12-1.2,-272.6216655039
S22x5/12-1.5,-272.6215887828
S22x5/12-2.0,-272.6215058858
S22x5/13-A,-232.1316816319
S22x5/13-B,-232.1316799737
S22x5/13-0.9,-464.2600528082
S22x5/13-1.0,-464.2627014668
S22x5/13-1.2,-464.2640140494
S22x5/13-1.5,-464.2638176452
S22x5/13-2.0,-464.2635310612
S22x5/14-A,-232.1316841197
S22x5/14-B,-232.1316841197
S22x5/14-0.9,-464.2492991072
S22x5/14-1.0,-464.2586216723
S22x5/14-1.2,-464.2625168802
S22x5/14-1.5,-464.2630731366
S22x5/14-2.0,-464.2632918956
S22x5/15-A,-232.1316373368
S22x5/15-B,-363.650877962
S22x5/15-0.9,-595.7812475759
S22x5/15-1.0,-595.7845925237
S22x5/15-1.2,-595.7859466623
S22x5/15-1.5,-595.7848801194
S22x5/15-2.0,-595.7835769243
S22x5/16-A,-232.1316623516
S22x5/16-B,-363.6508516699
S22x5/16-0.9,-595.7654706749
S22x5/16-1.0,-595.7767176603
S22x5/16-1.2,-595.7814978122
