system,XLYP/def2-QZVP/ORCA
S22x5/01-A,-467.7773671298
S22x5/01-B,-454.5874375956
S22x5/01-0.9,-922.3801052062
S22x5/01-1.0,-922.3838716267
S22x5/01-1.2,-922.3814398385
S22x5/01-1.5,-922.3742542422
S22x5/01-2.0,-922.3680518363
S22x5/02-A,-467.7769155499
S22x5/02-B,-454.5881746766
S22x5/02-0.9,-922.3414836122
S22x5/02-1.0,-922.3605917839
S22x5/02-1.2,-922.3679334428
S22x5/02-1.5,-922.3672070324
S22x5/02-2.0,-922.3659541656
S22x5/03-A,-56.6136292814
S22x5/03-B,-56.6136292815
S22x5/03-0.9,-113.2291594067
S22x5/03-1.0,-113.2309002169
S22x5/03-1.2,-113.2303800989
S22x5/03-1.5,-113.2288245848
S22x5/03-2.0,-113.2277816081
S22x5/04-A,-76.5093612462
S22x5/04-B,-76.5093307379
S22x5/04-0.9,-153.0247184419
S22x5/04-1.0,-153.026154021
S22x5/04-1.2,-153.0250542183
S22x5/04-1.5,-153.0223942343
S22x5/04-2.0,-153.0202213416
S22x5/05-A,-40.5461433031
S22x5/05-B,-40.5461433031
S22x5/05-0.9,-81.0903898696
S22x5/05-1.0,-81.091752395
S22x5/05-1.2,-81.0922381565
S22x5/05-1.5,-81.0922732474
S22x5/05-2.0,-81.0922843508
S22x5/06-A,-78.6577539199
S22x5/06-B,-78.6577539199
S22x5/06-0.9,-157.3110071141
S22x5/06-1.0,-157.3145110533
S22x5/06-1.2,-157.315574522
S22x5/06-1.5,-157.3155316794
S22x5/06-2.0,-157.31550538
S22x5/07-A,-78.657748991
S22x5/07-B,-77.4101692024
S22x5/07-0.9,-156.0678617702
S22x5/07-1.0,-156.0689063308
S22x5/07-1.2,-156.068962146
S22x5/07-1.5,-156.0684370173
S22x5/07-2.0,-156.0680795378
S22x5/08-A,-189.9660324741
S22x5/08-B,-189.9660324741
S22x5/08-0.9,-379.9528079059
S22x5/08-1.0,-379.9575081995
S22x5/08-1.2,-379.9545282161
S22x5/08-1.5,-379.9455999991
S22x5/08-2.0,-379.9374728744
S22x5/09-A,-170.0728619745
S22x5/09-B,-170.0728619746
S22x5/09-0.9,-340.1624052709
S22x5/09-1.0,-340.1664193418
S22x5/09-1.2,-340.1643201433
S22x5/09-1.5,-340.1574060508
S22x5/09-2.0,-340.1509996472
S22x5/10-A,-232.4529137155
S22x5/10-B,-76.5092844188
S22x5/10-0.9,-308.9624483817
S22x5/10-1.0,-308.9641832659
S22x5/10-1.2,-308.9645308054
S22x5/10-1.5,-308.9636809215
S22x5/10-2.0,-308.9627792126
S22x5/11-A,-232.4528916901
S22x5/11-B,-56.6135192713
S22x5/11-0.9,-289.0645124423
S22x5/11-1.0,-289.0664485145
S22x5/11-1.2,-289.0673066181
S22x5/11-1.5,-289.0670663293
S22x5/11-2.0,-289.0666614212
S22x5/12-A,-232.4528752247
S22x5/12-B,-40.5460602049
S22x5/12-0.9,-272.9952658975
S22x5/12-1.0,-272.9974437876
S22x5/12-1.2,-272.9987682265
S22x5/12-1.5,-272.9989855887
S22x5/12-2.0,-272.998954173
S22x5/13-A,-232.4528893923
S22x5/13-B,-232.4529018757
S22x5/13-0.9,-464.900439793
S22x5/13-1.0,-464.903725669
S22x5/13-1.2,-464.9058232958
S22x5/13-1.5,-464.906084047
S22x5/13-2.0,-464.9059316148
S22x5/14-A,-232.4528649816
S22x5/14-B,-232.4528649816
S22x5/14-0.9,-464.8883902653
S22x5/14-1.0,-464.8991159064
S22x5/14-1.2,-464.9044217894
S22x5/14-1.5,-464.9054457466
S22x5/14-2.0,-464.9056669965
S22x5/15-A,-232.4529486725
S22x5/15-B,-364.1457708234
S22x5/15-0.9,-596.5945707068
S22x5/15-1.0,-596.5986777152
S22x5/15-1.2,-596.6010736503
S22x5/15-1.5,-596.6007167614
S22x5/15-2.0,-596.5996828046
S22x5/16-A,-232.4528829278
S22x5/16-B,-364.1456851995
S22x5/16-0.9,-596.5769822142
S22x5/16-1.0,-596.5900152061
S22x5/16-1.2,-596.5967603738
S22x5/16-1.5,-596.5980089347
S22x5/16-2.0,-596.5983284543
S22x5/17-A,-264.5695373295
S22x5/17-B,-264.5695432191
S22x5/17-0.9,-529.1231102866
S22x5/17-1.0,-529.134272054
S22x5/17-1.2,-529.1390955124
S22x5/17-1.5,-529.1393628917
S22x5/17-2.0,-529.1391557167
S22x5/18-A,-323.8342675837
S22x5/18-B,-303.9355748172
S22x5/18-0.9,-627.786773176
S22x5/18-1.0,-627.7906040217
S22x5/18-1.2,-627.788256736
S22x5/18-1.5,-627.7809671212
S22x5/18-2.0,-627.7743862952
S22x5/19-A,-307.7584124477
S22x5/19-B,-307.7585552136
S22x5/19-0.9,-615.5181858841
S22x5/19-1.0,-615.5208833924
S22x5/19-1.2,-615.5214246345
S22x5/19-1.5,-615.5198847538
S22x5/19-2.0,-615.5182674741
S22x5/20-A,-415.2416676091
S22x5/20-B,-415.2416676091
S22x5/20-0.9,-830.4695455402
S22x5/20-1.0,-830.4832418806
S22x5/20-1.2,-830.4869943334
S22x5/20-1.5,-830.4854662059
S22x5/20-2.0,-830.484156824
S22x5/21-A,-415.2410502646
S22x5/21-B,-415.2410502646
S22x5/21-0.9,-830.5045555046
S22x5/21-1.0,-830.5087078858
S22x5/21-1.2,-830.5055597836
S22x5/21-1.5,-830.4967562949
S22x5/21-2.0,-830.4885892927
S22x5/22-A,-232.4529362528
S22x5/22-B,-93.5266339743
S22x5/22-0.9,-325.9793482913
S22x5/22-1.0,-325.9817756757
S22x5/22-1.2,-325.9825989202
S22x5/22-1.5,-325.9816526039
S22x5/22-2.0,-325.9805289658
S66x8/01-A,-76.5092843274
S66x8/01-B,-76.5093393144
S66x8/01-090,-153.0253997461
S66x8/01-095,-153.0260423132
S66x8/01-100,-153.0261753575
S66x8/01-105,-153.0259976177
S66x8/01-110,-153.0256381253
S66x8/01-125,-153.0241894003
S66x8/01-150,-153.0221097828
S66x8/01-200,-153.0201339329
S66x8/02-A,-76.5092906403
S66x8/02-B,-115.8348115589
S66x8/02-090,-192.3506964074
S66x8/02-095,-192.3515362245
S66x8/02-100,-192.3517940196
S66x8/02-105,-192.3516876401
S66x8/02-110,-192.3513654368
S66x8/02-125,-192.3499081074
S66x8/02-150,-192.3477119548
S66x8/02-200,-192.3456000721
S66x8/03-A,-76.5092930361
S66x8/03-B,-95.9421920522
S66x8/03-090,-172.4608685382
S66x8/03-095,-172.461658512
S66x8/03-100,-172.4618269036
S66x8/03-105,-172.4615981048
S66x8/03-110,-172.4611269062
S66x8/03-125,-172.4591715121
S66x8/03-150,-172.4562346481
S66x8/03-200,-172.4533634984
S66x8/04-A,-76.5092951298
S66x8/04-B,-248.7582281464
S66x8/04-090,-325.2765513855
S66x8/04-095,-325.2775794217
S66x8/04-100,-325.2779304535
S66x8/04-105,-325.2778417326
S66x8/04-110,-325.2774832334
S66x8/04-125,-325.2757624778
S66x8/04-150,-325.2729574227
S66x8/04-200,-325.269691306
S66x8/05-A,-115.8345757854
S66x8/05-B,-115.8348353002
S66x8/05-090,-231.6754830759
S66x8/05-095,-231.6764706444
S66x8/05-100,-231.6768421451
S66x8/05-105,-231.676820474
S66x8/05-110,-231.676560542
S66x8/05-125,-231.6751968147
S66x8/05-150,-231.6730170798
S66x8/05-200,-231.6708550069
S66x8/06-A,-115.8344133791
S66x8/06-B,-95.9422096777
S66x8/06-090,-211.7846778169
S66x8/06-095,-211.785916469
S66x8/06-100,-211.7864017355
S66x8/06-105,-211.7863993017
S66x8/06-110,-211.786092388
S66x8/06-125,-211.7843681371
S66x8/06-150,-211.7814716938
S66x8/06-200,-211.7785093771
S66x8/07-A,-115.834523278
S66x8/07-B,-248.7580600065
S66x8/07-090,-364.6007860713
S66x8/07-095,-364.6020235383
S66x8/07-100,-364.6025349482
S66x8/07-105,-364.6025682757
S66x8/07-110,-364.6022983465
S66x8/07-125,-364.6007015713
S66x8/07-150,-364.5975485929
S66x8/07-200,-364.5941363137
S66x8/08-A,-115.8345716739
S66x8/08-B,-76.5093437186
S66x8/08-090,-192.3501451077
S66x8/08-095,-192.3509220938
S66x8/08-100,-192.3511566564
S66x8/08-105,-192.3510531541
S66x8/08-110,-192.3507487586
S66x8/08-125,-192.3493818724
S66x8/08-150,-192.3473227259
S66x8/08-200,-192.3453287184
S66x8/09-A,-95.9420583123
S66x8/09-B,-115.834731614
S66x8/09-090,-211.7784990235
S66x8/09-095,-211.7793029131
S66x8/09-100,-211.7796659081
S66x8/09-105,-211.7797542273
S66x8/09-110,-211.7796887291
S66x8/09-125,-211.779130561
S66x8/09-150,-211.7782199226
S66x8/09-200,-211.7773900635
S66x8/10-A,-95.9421833656
S66x8/10-B,-95.9421787642
S66x8/10-090,-191.8858324764
S66x8/10-095,-191.8870833072
S66x8/10-100,-191.8877083453
S66x8/10-105,-191.8879473228
S66x8/10-110,-191.8879458268
S66x8/10-125,-191.8873063058
S66x8/10-150,-191.8858629085
S66x8/10-200,-191.8848218887
S66x8/11-A,-95.9420594624
S66x8/11-B,-248.7582374723
S66x8/11-090,-344.7016386676
S66x8/11-095,-344.7031032993
S66x8/11-100,-344.7039001237
S66x8/11-105,-344.7042588714
S66x8/11-110,-344.7043448353
S66x8/11-125,-344.703408831
S66x8/11-150,-344.7018510845
S66x8/11-200,-344.7008801022
S66x8/12-A,-95.942183944
S66x8/12-B,-76.5094789757
S66x8/12-090,-172.4601827251
S66x8/12-095,-172.4612277664
S66x8/12-100,-172.4615684197
S66x8/12-105,-172.4614550197
S66x8/12-110,-172.4610581382
S66x8/12-125,-172.459193196
S66x8/12-150,-172.4562623359
S66x8/12-200,-172.453373668
S66x8/13-A,-248.7581690428
S66x8/13-B,-115.8348207862
S66x8/13-090,-364.597137226
S66x8/13-095,-364.5983981906
S66x8/13-100,-364.5990168046
S66x8/13-105,-364.5992240125
S66x8/13-110,-364.5991727339
S66x8/13-125,-364.5983125442
S66x8/13-150,-364.5966140165
S66x8/13-200,-364.5947274618
S66x8/14-A,-248.7580190961
S66x8/14-B,-95.9422273285
S66x8/14-090,-344.7057733251
S66x8/14-095,-344.7072302509
S66x8/14-100,-344.7079519326
S66x8/14-105,-344.7081871486
S66x8/14-110,-344.7081081637
S66x8/14-125,-344.7069905332
S66x8/14-150,-344.7047458407
S66x8/14-200,-344.7022505062
S66x8/15-A,-248.7581488329
S66x8/15-B,-248.7581838571
S66x8/15-090,-497.5220738995
S66x8/15-095,-497.5235838351
S66x8/15-100,-497.5243662375
S66x8/15-105,-497.5246641761
S66x8/15-110,-497.5246469902
S66x8/15-125,-497.5236626657
S66x8/15-150,-497.5215172899
S66x8/15-200,-497.5186507016
S66x8/16-A,-248.7582421367
S66x8/16-B,-76.5093400698
S66x8/16-090,-325.2727155273
S66x8/16-095,-325.2736074981
S66x8/16-100,-325.2739705897
S66x8/16-105,-325.2740003529
S66x8/16-110,-325.2738202867
S66x8/16-125,-325.2727846781
S66x8/16-150,-325.2710620828
S66x8/16-200,-325.2692651427
S66x8/17-A,-415.2413101875
S66x8/17-B,-415.2413450546
S66x8/17-090,-830.5009821519
S66x8/17-095,-830.5035476582
S66x8/17-100,-830.5045941257
S66x8/17-105,-830.5046320752
S66x8/17-110,-830.5040189443
S66x8/17-125,-830.500445786
S66x8/17-150,-830.4941309996
S66x8/17-200,-830.4873431824
S66x8/18-A,-76.5092952144
S66x8/18-B,-248.5128074367
S66x8/18-090,-325.0311302905
S66x8/18-095,-325.0319538454
S66x8/18-100,-325.0321488151
S66x8/18-105,-325.0319436647
S66x8/18-110,-325.031494119
S66x8/18-125,-325.0296020223
S66x8/18-150,-325.0267659809
S66x8/18-200,-325.0240071643
S66x8/19-A,-115.834419663
S66x8/19-B,-248.5128049311
S66x8/19-090,-364.3551834965
S66x8/19-095,-364.3563131878
S66x8/19-100,-364.3567301902
S66x8/19-105,-364.3566846282
S66x8/19-110,-364.3566350143
S66x8/19-125,-364.3545851723
S66x8/19-150,-364.3520444441
S66x8/19-200,-364.3491424153
S66x8/20-A,-229.3191600163
S66x8/20-B,-229.3191634187
S66x8/20-090,-458.6609277469
S66x8/20-095,-458.6636747185
S66x8/20-100,-458.664677371
S66x8/20-105,-458.6645412351
S66x8/20-110,-458.6636820324
S66x8/20-125,-458.6591414348
S66x8/20-150,-458.6515726983
S66x8/20-200,-458.6435605464
S66x8/21-A,-209.4228341786
S66x8/21-B,-209.422835774
S66x8/21-090,-418.8636478939
S66x8/21-095,-418.8660226196
S66x8/21-100,-418.8669577433
S66x8/21-105,-418.8669437857
S66x8/21-110,-418.8663252478
S66x8/21-125,-418.8628967773
S66x8/21-150,-418.857032845
S66x8/21-200,-418.8501334763
S66x8/22-A,-229.3191434988
S66x8/22-B,-415.2410539907
S66x8/22-090,-644.5826457161
S66x8/22-095,-644.5853300588
S66x8/22-100,-644.5863807321
S66x8/22-105,-644.5863424246
S66x8/22-110,-644.5855968722
S66x8/22-125,-644.5814553057
S66x8/22-150,-644.5741930061
S66x8/22-200,-644.566183691
S66x8/23-A,-209.4226952622
S66x8/23-B,-415.2410479506
S66x8/23-090,-624.6854111664
S66x8/23-095,-624.6879716278
S66x8/23-100,-624.6890466258
S66x8/23-105,-624.6891179267
S66x8/23-110,-624.6885286353
S66x8/23-125,-624.6849066475
S66x8/23-150,-624.6782562573
S66x8/23-200,-624.6705319862
S66x8/24-A,-232.4528333124
S66x8/24-B,-232.4528925611
S66x8/24-090,-464.8891312502
S66x8/24-095,-464.8954849511
S66x8/24-100,-464.8992964233
S66x8/24-105,-464.9015637024
S66x8/24-110,-464.9029795859
S66x8/24-125,-464.9047723856
S66x8/24-150,-464.9054348906
S66x8/24-200,-464.9056660921
S66x8/25-A,-248.5128338401
S66x8/25-B,-248.5128383466
S66x8/25-090,-497.0102157401
S66x8/25-095,-497.016455188
S66x8/25-100,-497.020288664
S66x8/25-105,-497.0225462677
S66x8/25-110,-497.0239223603
S66x8/25-125,-497.0255087921
S66x8/25-150,-497.025884632
S66x8/25-200,-497.0257971978
S66x8/26-A,-415.2416689123
S66x8/26-B,-415.2416689124
S66x8/26-090,-830.4730189366
S66x8/26-095,-830.4794969217
S66x8/26-100,-830.4832446883
S66x8/26-105,-830.4853320779
S66x8/26-110,-830.4864394543
S66x8/26-125,-830.4869237878
S66x8/26-150,-830.485814253
S66x8/26-200,-830.4843914827
S66x8/27-A,-232.452857199
S66x8/27-B,-248.5128279158
S66x8/27-090,-480.9493061205
S66x8/27-095,-480.9559739795
S66x8/27-100,-480.9599062515
S66x8/27-105,-480.9622042795
S66x8/27-110,-480.963577917
S66x8/27-125,-480.9651932429
S66x8/27-150,-480.9656779812
S66x8/27-200,-480.9657308388
S66x8/28-A,-232.4529460756
S66x8/28-B,-415.242080531
S66x8/28-090,-647.679365759
S66x8/28-095,-647.6858555388
S66x8/28-100,-647.6897788253
S66x8/28-105,-647.6921790939
S66x8/28-110,-647.693555298
S66x8/28-125,-647.6950488774
S66x8/28-150,-647.6951409338
S66x8/28-200,-647.6949360245
S66x8/29-A,-248.5128656522
S66x8/29-B,-415.2419716667
S66x8/29-090,-663.7388091437
S66x8/29-095,-663.7471326988
S66x8/29-100,-663.7517162008
S66x8/29-105,-663.7542328164
S66x8/29-110,-663.7554893929
S66x8/29-125,-663.7564581805
S66x8/29-150,-663.7560505037
S66x8/29-200,-663.7553360775
S66x8/30-A,-232.4528655364
S66x8/30-B,-78.6576677609
S66x8/30-090,-311.1014788621
S66x8/30-095,-311.104710925
S66x8/30-100,-311.1066841662
S66x8/30-105,-311.1079045076
S66x8/30-110,-311.1086473448
S66x8/30-125,-311.1096531517
S66x8/30-150,-311.1101414162
S66x8/30-200,-311.1104028153
S66x8/31-A,-415.2420556363
S66x8/31-B,-78.6577552267
S66x8/31-090,-493.8932877016
S66x8/31-095,-493.8962165133
S66x8/31-100,-493.8980265621
S66x8/31-105,-493.8990743439
S66x8/31-110,-493.8996826549
S66x8/31-125,-493.9002933127
S66x8/31-150,-493.9002292715
S66x8/31-200,-493.8999368692
S66x8/32-A,-415.2419374951
S66x8/32-B,-77.4100710691
S66x8/32-090,-492.6468037018
S66x8/32-095,-492.6497216894
S66x8/32-100,-492.6514272192
S66x8/32-105,-492.6523942729
S66x8/32-110,-492.6528697976
S66x8/32-125,-492.6531395922
S66x8/32-150,-492.6526968715
S66x8/32-200,-492.6521837261
S66x8/33-A,-248.5127981226
S66x8/33-B,-78.6576211715
S66x8/33-090,-327.1624990597
S66x8/33-095,-327.165398835
S66x8/33-100,-327.1672022079
S66x8/33-105,-327.1683153489
S66x8/33-110,-327.1690312166
S66x8/33-125,-327.169934102
S66x8/33-150,-327.1702596564
S66x8/33-200,-327.1703879791
S66x8/34-A,-197.9098093252
S66x8/34-B,-197.909656735
S66x8/34-090,-395.8095113347
S66x8/34-095,-395.813305582
S66x8/34-100,-395.8156343085
S66x8/34-105,-395.8170502923
S66x8/34-110,-395.8178786012
S66x8/34-125,-395.8191223692
S66x8/34-150,-395.8195753095
S66x8/34-200,-395.8196740662
S66x8/35-A,-197.9097513287
S66x8/35-B,-197.9103289626
S66x8/35-090,-395.8127492128
S66x8/35-095,-395.8157169018
S66x8/35-100,-395.8174548779
S66x8/35-105,-395.818447491
S66x8/35-110,-395.8190059305
S66x8/35-125,-395.8197483899
S66x8/35-150,-395.8200190547
S66x8/35-200,-395.8200825299
S66x8/36-A,-197.9103298602
S66x8/36-B,-197.9104329807
S66x8/36-090,-395.8162500911
S66x8/36-095,-395.8177752607
S66x8/36-100,-395.8187617595
S66x8/36-105,-395.8193377186
S66x8/36-110,-395.8197114554
S66x8/36-125,-395.8202054379
S66x8/36-150,-395.8204224726
S66x8/36-200,-395.8204455404
S66x8/37-A,-196.6975751916
S66x8/37-B,-197.909983747
S66x8/37-090,-394.6004409875
S66x8/37-095,-394.6033631422
S66x8/37-100,-394.6050640207
S66x8/37-105,-394.6060970735
S66x8/37-110,-394.6067162575
S66x8/37-125,-394.6075181629
S66x8/37-150,-394.6077987376
S66x8/37-200,-394.6078724259
S66x8/38-A,-196.6974440753
S66x8/38-B,-196.6974613953
S66x8/38-090,-393.3875022845
S66x8/38-095,-393.3902272054
S66x8/38-100,-393.3920948292
S66x8/38-105,-393.3932074337
S66x8/38-110,-393.3938276269
S66x8/38-125,-393.3945859849
S66x8/38-150,-393.3948259025
S66x8/38-200,-393.3948643744
S66x8/39-A,-232.4528839781
S66x8/39-B,-196.6974042544
S66x8/39-090,-429.1394019446
S66x8/39-095,-429.1436754344
S66x8/39-100,-429.1463249352
S66x8/39-105,-429.1479797075
S66x8/39-110,-429.1489670225
S66x8/39-125,-429.1500710412
S66x8/39-150,-429.1503350077
S66x8/39-200,-429.150327385
S66x8/40-A,-232.4528987655
S66x8/40-B,-197.9104685505
S66x8/40-090,-430.3548765551
S66x8/40-095,-430.3582213723
S66x8/40-100,-430.3602156654
S66x8/40-105,-430.3614552043
S66x8/40-110,-430.3621549837
S66x8/40-125,-430.3629911079
S66x8/40-150,-430.3631770726
S66x8/40-200,-430.3631363793
S66x8/41-A,-415.2421816118
S66x8/41-B,-197.9098449334
S66x8/41-090,-613.1406895286
S66x8/41-095,-613.1450006499
S66x8/41-100,-613.147750042
S66x8/41-105,-613.1494652609
S66x8/41-110,-613.1506220238
S66x8/41-125,-613.1518164898
S66x8/41-150,-613.1520648673
S66x8/41-200,-613.1520208403
S66x8/42-A,-415.2422028373
S66x8/42-B,-196.6974853207
S66x8/42-090,-611.9290194059
S66x8/42-095,-611.9333222615
S66x8/42-100,-611.9359213038
S66x8/42-105,-611.9374587281
S66x8/42-110,-611.9383458706
S66x8/42-125,-611.9394079335
S66x8/42-150,-611.9396955728
S66x8/42-200,-611.9396947025
S66x8/43-A,-415.2420970287
S66x8/43-B,-197.9101366357
S66x8/43-090,-613.1444648489
S66x8/43-095,-613.1478936669
S66x8/43-100,-613.1499448698
S66x8/43-105,-613.1511261611
S66x8/43-110,-613.1517697302
S66x8/43-125,-613.1524659907
S66x8/43-150,-613.1525393253
S66x8/43-200,-613.1524044565
S66x8/44-A,-78.6576765217
S66x8/44-B,-197.9098745779
S66x8/44-090,-276.5628847677
S66x8/44-095,-276.5647177004
S66x8/44-100,-276.5658239936
S66x8/44-105,-276.5664383258
S66x8/44-110,-276.5668350187
S66x8/44-125,-276.567329314
S66x8/44-150,-276.5674917178
S66x8/44-200,-276.567505483
S66x8/45-A,-77.4100674175
S66x8/45-B,-197.9097156916
S66x8/45-090,-275.3147169988
S66x8/45-095,-275.3168231341
S66x8/45-100,-275.3180409005
S66x8/45-105,-275.3187697185
S66x8/45-110,-275.319212702
