system,ωB97X/def2-QZVP/ORCA
S22x5/01-A,-467.4043837411
S22x5/01-B,-454.2320913604
S22x5/01-0.9,-921.6591743169
S22x5/01-1.0,-921.6618436342
S22x5/01-1.2,-921.6573177627
S22x5/01-1.5,-921.6477912443
S22x5/01-2.0,-921.6400472538
S22x5/02-A,-467.4036433958
S22x5/02-B,-454.233186743
S22x5/02-0.9,-921.6386814218
S22x5/02-1.0,-921.6503718303
S22x5/02-1.2,-921.6467243343
S22x5/02-1.5,-921.6400966808
S22x5/02-2.0,-921.6378601647
S22x5/03-A,-56.5717437483
S22x5/03-B,-56.5717437128
S22x5/03-0.9,-113.1481489599
S22x5/03-1.0,-113.1492418021
S22x5/03-1.2,-113.1474822702
S22x5/03-1.5,-113.1451839514
S22x5/03-2.0,-113.1439591057
S22x5/04-A,-76.4486653361
S22x5/04-B,-76.4487274357
S22x5/04-0.9,-152.9056592748
S22x5/04-1.0,-152.9065437463
S22x5/04-1.2,-152.9046069844
S22x5/04-1.5,-152.9013209337
S22x5/04-2.0,-152.8989565496
S22x5/05-A,-40.52142878
S22x5/05-B,-40.5214288002
S22x5/05-0.9,-81.0437469805
S22x5/05-1.0,-81.0437216644
S22x5/05-1.2,-81.0430689744
S22x5/05-1.5,-81.0428625161
S22x5/05-2.0,-81.0428591416
S22x5/06-A,-78.5966588054
S22x5/06-B,-78.5966589665
S22x5/06-0.9,-157.1949907779
S22x5/06-1.0,-157.1959948133
S22x5/06-1.2,-157.1943281132
S22x5/06-1.5,-157.1934182933
S22x5/06-2.0,-157.1933218912
S22x5/07-A,-78.5966125289
S22x5/07-B,-77.3380374
S22x5/07-0.9,-155.9368594146
S22x5/07-1.0,-155.937234775
S22x5/07-1.2,-155.9363393969
S22x5/07-1.5,-155.9353068618
S22x5/07-2.0,-155.9348340194
S22x5/08-A,-189.8067506238
S22x5/08-B,-189.8067506172
S22x5/08-0.9,-379.6419318179
S22x5/08-1.0,-379.6454989803
S22x5/08-1.2,-379.6405649863
S22x5/08-1.5,-379.6293179751
S22x5/08-2.0,-379.6194818071
S22x5/09-A,-169.9328206973
S22x5/09-B,-169.9328208409
S22x5/09-0.9,-339.8892879793
S22x5/09-1.0,-339.8923153019
S22x5/09-1.2,-339.8881701289
S22x5/09-1.5,-339.8790427597
S22x5/09-2.0,-339.8713168004
S22x5/10-A,-232.2746437185
S22x5/10-B,-76.4485753729
S22x5/10-0.9,-308.72834419
S22x5/10-1.0,-308.728851997
S22x5/10-1.2,-308.7273069165
S22x5/10-1.5,-308.7251838822
S22x5/10-2.0,-308.7238993354
S22x5/11-A,-232.2746523428
S22x5/11-B,-56.5716323097
S22x5/11-0.9,-288.8493126578
S22x5/11-1.0,-288.8499871017
S22x5/11-1.2,-288.8488226654
S22x5/11-1.5,-288.8473150595
S22x5/11-2.0,-288.8465539017
S22x5/12-A,-232.2746828253
S22x5/12-B,-40.521434792
S22x5/12-0.9,-272.7975564625
S22x5/12-1.0,-272.7982829509
S22x5/12-1.2,-272.7976391475
S22x5/12-1.5,-272.7965638823
S22x5/12-2.0,-272.7961640797
S22x5/13-A,-232.2746522826
S22x5/13-B,-232.2746366716
S22x5/13-0.9,-464.5509738302
S22x5/13-1.0,-464.5525012111
S22x5/13-1.2,-464.5519328308
S22x5/13-1.5,-464.5503269834
S22x5/13-2.0,-464.5494969363
